email	sex	age_group	age
IT000058	F	4	NA
IT000059	F	2	NA
IT000060	M	2	NA
IT000063	M	2	NA
IT000061	M	6	NA
IT000062	F	2	NA
IT000064	F	4	NA
IT000065	F	6	NA
IT000066	F	4	NA
IT000069	M	6	NA
IT000092	F	6	NA
IT000109	M	4	NA
IT000110	F	4	NA
IT000131	F	5	NA
IT000133	M	5	NA
IT000138	M	2	NA
IT000139	F	4	NA
IT000143	M	4	NA
IT000164	F	4	NA
IT000170	F	4	NA
IT000171	M	4	NA
IT000172	F	5	NA
IT000173	F	4	NA
IT000174	F	4	NA
IT000175	F	5	NA
IT000176	F	5	NA
IT000178	M	3	NA
IT000179	F	6	NA
IT000180	F	5	NA
IT000181	F	7	NA
IT000184	F	3	NA
IT000185	F	3	NA
IT000183	F	3	NA
IT000182	F	3	NA
IT000186	F	2	NA
IT000187	F	3	NA
IT000188	M	3	NA
IT000189	M	3	NA
DE000003	F	4	45
DE000010	F	5	55
DE000011	M	3	33
DE000013	M	4	45
DE000014	M	4	40
DE000015	M	2	28
DE000022	M	4	40
DE000019	M	4	43
DE000020	M	5	51
DE000023	F	4	46
DE000024	F	5	52
DE000057	M	3	38
DE000076	F	4	40
DE000077	M	4	42
DE000078	F	6	63
DE000085	M	2	25
DE000087	M	4	45
DE000088	M	5	58
DE000089	F	4	44
DE000090	F	2	22
DE000091	F	3	34
DE000119	F	4	47
DE000120	F	2	29
DE000121	M	4	46
DE000122	F	5	53
DE000123	M	3	34
DE000124	M	2	27
DE000125	M	5	59
CH000004	F	3	36
CH000116	F	5	52
CH000117	F	5	50
CH000115	M	3	36
CH000118	M	5	58
CH000127	M	4	40
CH000126	M	7	74
CH000128	F	3	38
CH000169	F	6	62
CH000132	M	6	66
CH000147	M	7	72
CH000148	M	2	22
CH000130	M	2	21
CH000150	F	5	57
CH000151	M	2	27
CH000152	M	7	72
CH000153	F	5	51
CH000154	M	5	57
CH000155	F	7	76
CH000157	F	5	51
CH000156	F	5	53
CH000201	M	6	67
CH000159	F	4	41
CH000205	F	3	34
CH000161	F	4	46
CH000166	F	4	48
CH000204	F	3	33
CH000163	M	7	72
CH000168	M	3	31
CH000167	M	3	38
CH000191	M	3	39
CH000192	F	4	46
CH000194	M	2	25
CH000195	F	3	35
CH000196	F	3	33
CH000197	F	3	34
CH000206	M	3	37
CH000199	M	2	25
CH000207	M	2	26
CH000213	M	3	31
CH000211	M	2	26
