ID,gender,age_cat
IT000058nunCJgxdYvUR,2,4
IT000059ahyCTGLWIzRO,2,2
IT000060fpuCVEkEwYDI,1,2
IT000063mFxBeuHWEpKl,1,2
IT000061MKavicpKSAQx,1,6
IT000062WcATMZFibinx,2,2
IT000064BHlFowsocyHF,2,4
IT000065LFvGnmIcpAra,2,6
IT000066TKyqodaEMJIK,2,4
IT000069OVGKYEBuZdYS,1,6
IT000092rBpgQToWjcqU,2,6
IT000109POqVekhyNeNj,1,4
IT000110dYSCwcmOEpPA,2,4
IT000131gpCMepjWejUg,2,5
IT000133iwbgRkOiQSzX,1,5
IT000138xieDedzXFnFa,1,2
IT000139ndBVkXCTsycs,2,4
IT000143eXMVBDLFwxMI,1,4
IT000164MvBEzjsfPiWN,2,4
IT000170JZGheCsEfkwd,2,4
IT000171XJjktqgIjJtS,1,4
IT000172BCBgxKcFcBnA,2,5
IT000173mqXzHdfypMmi,2,4
IT000174AtzQXlHYPaRB,2,4
IT000175ZrRlNzyFWKtb,2,5
IT000176akWFsZdUHFpp,2,5
IT000178kcZgrjwlLsBf,1,3
IT000179GrOVeMBuACNy,2,6
IT000180xdmswPsofPNC,2,5
IT000181QCRfghIXrJmQ,2,7
IT000184IQsKJIczZTWM,2,3
IT000185hSoHgIQbwIMi,2,3
IT000183PGIrLPxvFZkG,2,3
IT000182FttHiYVALtms,2,3
IT000186IuUCTXCIUTVp,2,2
IT000187ltTWaAHaKOLr,2,3
IT000188WxKcgARyKagC,1,3
IT000189JOqdiMqw,1,3
