date,posEHF,Euroheat,t2m_daily_mean,utci_daily_mean
2025-01-01,False,False,4.0,4.1
2025-01-02,False,False,7.0,7.0
2025-01-03,False,False,6.2,5.4
2025-01-04,False,False,3.3,3.3
2025-01-05,False,False,3.7,4.1
2025-01-06,False,False,6.4,4.7
2025-01-07,False,False,5.8,3.5
2025-01-08,False,False,6.0,4.8
2025-01-09,False,False,8.2,5.8
2025-01-10,False,False,6.9,4.6
2025-01-11,False,False,4.5,1.8
2025-01-12,False,False,1.8,-2.6
2025-01-13,False,False,2.2,-4.4
2025-01-14,False,False,0.5,-4.3
2025-01-15,False,False,1.2,-0.1
2025-01-16,False,False,3.2,0.0
2025-01-17,False,False,1.9,-0.5
2025-01-18,False,False,2.5,1.5
2025-01-19,False,False,4.5,4.7
2025-01-20,False,False,5.9,7.0
2025-01-21,False,False,6.4,6.3
2025-01-22,False,False,5.7,5.5
2025-01-23,False,False,5.8,5.4
2025-01-24,False,False,7.3,7.4
2025-01-25,False,False,7.4,7.5
2025-01-26,False,False,8.2,5.4
2025-01-27,False,True,12.0,7.1
2025-01-28,False,True,13.0,2.2
2025-01-29,False,False,9.7,8.1
2025-01-30,False,False,6.1,5.9
2025-01-31,False,False,6.0,4.7
2025-02-01,False,False,8.3,5.5
2025-02-02,False,False,7.6,7.0
2025-02-03,False,False,6.5,5.7
2025-02-04,False,False,5.2,5.7
2025-02-05,False,False,4.3,4.6
2025-02-06,False,False,4.3,3.7
2025-02-07,False,False,4.9,3.4
2025-02-08,False,False,6.0,5.2
2025-02-09,False,False,5.5,4.3
2025-02-10,False,False,7.6,9.0
2025-02-11,False,False,8.1,9.1
2025-02-12,False,False,9.1,10.2
2025-02-13,False,False,9.0,10.2
2025-02-14,False,False,6.0,-0.0
2025-02-15,False,False,3.8,2.2
2025-02-16,False,False,2.9,3.2
2025-02-17,False,False,3.0,1.9
2025-02-18,False,False,3.7,3.0
2025-02-19,False,False,3.6,2.0
2025-02-20,False,False,3.7,4.7
2025-02-21,False,False,5.0,6.1
2025-02-22,False,False,6.6,6.5
2025-02-23,False,False,9.6,11.2
2025-02-24,False,False,10.1,11.5
2025-02-25,False,False,10.6,11.8
2025-02-26,False,False,8.8,6.1
2025-02-27,False,False,9.4,8.3
2025-02-28,False,False,7.7,7.6
2025-03-01,False,False,6.9,4.3
2025-03-02,False,False,6.1,3.7
2025-03-03,False,False,5.8,6.0
2025-03-04,False,False,6.9,8.0
2025-03-05,False,False,7.8,7.9
2025-03-06,False,False,8.3,8.4
2025-03-07,False,False,8.4,8.4
