date,posEHF,Euroheat,t2m_daily_mean,utci_daily_mean
2025-01-01,False,False,1.7,-13.3
2025-01-02,False,False,1.7,-10.0
2025-01-03,False,False,-0.3,-5.7
2025-01-04,False,False,-1.0,-12.8
2025-01-05,False,True,5.2,0.7
2025-01-06,False,False,3.5,-2.9
2025-01-07,False,False,1.7,-5.1
2025-01-08,False,False,5.4,-2.8
2025-01-09,False,False,4.5,-1.7
2025-01-10,False,False,1.2,-3.9
2025-01-11,False,False,0.6,-4.2
2025-01-12,False,False,-4.2,-11.2
2025-01-13,False,False,-2.9,-18.2
2025-01-14,False,False,-0.3,-13.0
2025-01-15,False,False,-0.2,-9.9
2025-01-16,False,False,1.0,-11.7
2025-01-17,False,False,1.2,-12.4
2025-01-18,False,False,0.9,-12.9
2025-01-19,False,False,1.9,-7.5
2025-01-20,False,False,2.0,-7.2
2025-01-21,False,False,2.8,-6.7
2025-01-22,False,False,2.5,-8.1
2025-01-23,False,False,3.6,-3.6
2025-01-24,False,False,4.6,-6.5
2025-01-25,False,True,7.3,-2.4
2025-01-26,False,False,3.9,-2.2
2025-01-27,False,False,4.6,-1.0
2025-01-28,False,False,2.7,-0.4
2025-01-29,False,False,3.4,-5.1
2025-01-30,False,False,2.9,-2.9
2025-01-31,False,False,3.0,-2.9
2025-02-01,False,False,1.5,-3.4
2025-02-02,False,False,2.1,-5.2
2025-02-03,False,False,1.9,-6.9
2025-02-04,False,False,2.1,-6.2
2025-02-05,False,False,1.3,-6.1
2025-02-06,False,False,0.0,-6.1
2025-02-07,False,False,1.2,-9.5
2025-02-08,False,False,1.9,-8.7
2025-02-09,False,False,3.4,-2.1
2025-02-10,False,False,4.3,-2.1
2025-02-11,False,False,6.2,1.7
2025-02-12,False,False,6.1,2.2
2025-02-13,False,False,4.7,-0.8
2025-02-14,False,False,0.3,-6.0
2025-02-15,False,False,0.3,-8.5
2025-02-16,False,False,3.4,-3.9
2025-02-17,False,False,2.7,-4.8
2025-02-18,False,False,2.5,-5.1
2025-02-19,False,False,3.7,-1.8
2025-02-20,False,False,7.1,1.1
2025-02-21,False,False,6.2,0.3
2025-02-22,False,False,6.8,2.3
2025-02-23,False,False,7.4,2.5
2025-02-24,False,False,5.7,-0.5
2025-02-25,False,False,6.1,0.1
2025-02-26,False,False,2.9,-1.2
2025-02-27,False,False,2.9,-2.3
2025-02-28,False,False,2.2,-1.9
2025-03-01,False,False,1.1,-3.5
2025-03-02,False,False,2.6,-3.9
2025-03-03,False,False,3.7,-3.4
2025-03-04,False,False,5.7,-2.2
2025-03-05,False,False,7.0,-2.1
2025-03-06,False,False,7.9,-1.1
2025-03-07,False,False,8.1,0.1
2025-03-08,False,False,8.5,-0.2
2025-03-09,False,False,9.1,0.8
2025-03-10,False,False,8.6,4.5
2025-03-11,False,False,7.8,4.2
2025-03-12,False,False,5.5,2.4
2025-03-13,False,False,3.4,0.1
2025-03-14,False,False,2.6,-0.3
2025-03-15,False,False,2.6,2.8
2025-03-16,False,False,2.1,1.3
2025-03-17,False,False,3.2,1.0
2025-03-18,False,False,6.9,1.1
2025-03-19,False,False,8.4,0.5
2025-03-20,False,False,10.4,3.9
2025-03-21,False,False,11.4,3.1
2025-03-22,False,False,10.2,2.1
2025-03-23,False,False,8.5,4.8
2025-03-24,False,False,8.5,4.4
2025-03-25,False,False,7.8,3.9
2025-03-26,False,False,8.3,5.0
2025-03-27,False,False,7.1,5.2
2025-03-28,False,False,8.1,4.1
2025-03-29,False,False,6.9,3.0
2025-03-30,False,False,7.5,5.5
2025-03-31,False,False,7.7,3.1
2025-04-01,False,False,5.2,2.5
2025-04-02,False,False,8.9,4.6
2025-04-03,False,False,11.9,8.0
2025-04-04,False,False,13.8,8.9
2025-04-05,False,True,14.3,9.1
2025-04-06,False,False,10.6,7.4
2025-04-07,False,False,9.3,6.4
2025-04-08,False,False,11.4,7.1
2025-04-09,False,False,11.4,6.9
2025-04-10,False,False,10.6,7.2
2025-04-11,False,False,13.8,9.3
2025-04-12,False,False,13.0,9.3
2025-04-13,False,False,11.7,10.1
2025-04-14,False,False,12.9,10.5
2025-04-15,False,False,12.4,9.9
2025-04-16,False,False,7.4,3.9
2025-04-17,False,False,4.8,4.5
2025-04-18,False,False,9.1,7.9
2025-04-19,False,False,12.6,4.1
2025-04-20,False,False,11.5,5.9
2025-04-21,False,False,9.7,6.2
2025-04-22,False,False,11.7,8.6
2025-04-23,False,False,9.6,7.5
2025-04-24,False,False,9.1,7.4
2025-04-25,False,False,9.6,6.5
2025-04-26,False,False,11.1,7.8
2025-04-27,False,False,13.0,9.5
2025-04-28,False,False,14.0,9.7
