date,posEHF,Euroheat,t2m_daily_mean,utci_daily_mean
2025-01-01,False,False,11.6,9.8
2025-01-02,False,False,11.6,10.3
2025-01-03,False,False,11.9,10.4
2025-01-04,False,False,12.6,11.7
2025-01-05,False,False,12.4,10.5
2025-01-06,False,False,11.7,11.5
2025-01-07,False,False,12.2,10.8
2025-01-08,False,False,13.3,12.0
2025-01-09,False,False,12.8,12.7
2025-01-10,False,False,12.2,12.0
2025-01-11,False,False,12.8,11.9
2025-01-12,False,False,13.4,11.3
2025-01-13,False,False,13.9,9.8
2025-01-14,False,False,13.3,11.9
2025-01-15,False,False,11.7,12.0
2025-01-16,False,False,12.5,12.4
2025-01-17,False,False,10.9,8.9
2025-01-18,False,False,10.9,10.3
2025-01-19,False,False,10.9,10.4
2025-01-20,False,False,11.7,11.8
2025-01-21,False,False,12.0,11.6
2025-01-22,False,False,12.1,10.1
2025-01-23,False,False,12.6,10.4
2025-01-24,False,False,13.4,13.7
2025-01-25,False,False,13.0,13.2
2025-01-26,False,False,11.5,9.1
2025-01-27,False,False,11.4,11.3
2025-01-28,False,False,12.4,12.9
2025-01-29,False,False,11.9,11.2
2025-01-30,False,False,12.2,9.1
2025-01-31,False,False,12.6,9.6
2025-02-01,False,False,12.2,11.5
2025-02-02,False,False,12.1,13.3
2025-02-03,False,False,12.3,12.9
2025-02-04,False,False,11.6,8.6
2025-02-05,False,False,8.7,-4.6
2025-02-06,False,False,8.2,-6.8
2025-02-07,False,False,7.7,-3.5
2025-02-08,False,False,7.9,-0.2
2025-02-09,False,False,7.5,-1.8
2025-02-10,False,False,8.1,0.7
2025-02-11,False,False,8.2,2.3
2025-02-12,False,False,8.2,3.1
2025-02-13,False,False,8.9,8.4
2025-02-14,False,False,10.7,10.0
2025-02-15,False,False,10.9,11.1
2025-02-16,False,False,11.2,8.1
2025-02-17,False,False,11.9,10.6
2025-02-18,False,False,11.6,10.8
2025-02-19,False,False,10.6,8.7
2025-02-20,False,False,7.7,-2.5
2025-02-21,False,False,6.9,-5.5
2025-02-22,False,False,5.7,-4.6
2025-02-23,False,False,7.0,1.6
